step,total_loss,ce_loss,R,u_val
1000,23.034,20.929,0.0248,0.915
1500,14.499,10.024,0.0508,-1.230
2000,13.555,7.851,0.0706,-2.656
2500,12.956,7.251,0.1008,-3.369
3000,12.567,6.832,0.1270,-2.363
3500,12.831,7.316,0.1534,-1.277
4000,12.342,6.704,0.1803,-1.000
4500,12.782,7.109,0.2063,-0.499
5000,12.364,6.753,0.2315,-1.005
5500,12.288,6.689,0.2564,-1.305
6000,12.190,6.661,0.2734,-0.954
6500,12.260,6.611,0.2920,0.387
7000,12.195,6.505,0.3092,-0.947
7500,12.091,6.480,0.3260,-0.980
8000,12.095,6.419,0.3395,-0.717
8500,12.066,6.352,0.3499,-0.876
9000,12.020,6.288,0.3615,-1.236
9500,11.971,6.285,0.3706,-1.226
10000,11.941,6.238,0.3803,-1.031
